post,new_topic,label
"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",economic climate,1
"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!",nsaid,1
"Without government to ensure their behavior, companies will attempt to make a profit even to the DETRIMENT of the society that supports the business. We have seen this in the environment, in finances, in their treatment of workers and customers. Enough.",government,0
"Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in? Seriously? Procedures & materials for road repair? Medical practices in surgery? Proper chemicals used to treat the town water? We could all have opinions on these but are they professional or informed? Parents do not have a six-year degree and teaching license to qualify for text/curriculum/lesson plan design - just as they have no geology degree for road projects, or med degree for surgical procedures, or chemical engineering degree for civic operations. If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine, scholarly education, and sound civic operations to be able to do their best for us. This attitude of ""Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I've seen on Fox News"" is getting out of hand.",tax,1
"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution. It did not lead to the invention of the light bulb, or the telephone, or the internet, or the NYT electronic discussion board. Just ""enjoying"" life alone means you are enjoying the fruit of someone else's hard work.",invention,1
"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!",doctor,1
"If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney? We have enough lousy attorneys, Dean Allard wants to create more? Generally, my classmates who took the bar multiple times ended up where they belong, at the bottom rung of the profession.",the bar,1
"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge. I live on the Boise River in an area that has kept access open to the public. Just downstream, a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard. This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations. Last time the river became a bit unruly, the national guard was called out to move earth and place sandbags to protect these areas. If you receive or need public help, then you need to provide public access.",flood,0
"In spite of Republican whining, everybody needs Government. Somebody has got to pay, and it has to be the people who benefit from society, because there are no other sources. Bank interest is double taxed, and capital gains are and should be taxed. Contrary to the arguments that I see here, passive income is the most lethal of all to our social structure because it compounds wealth into the hands of a few lucky winners (sometimes just lucky enough to cheat), and deprives society, as a whole, of any chance to maintain a fair playing field for future generations. Capitalism is an amazing, but flawed human invention. Every once in a while capitalism and capitalists go awry. We are living in one of those times. We just need to fix that, and everything will be fine...........including the deficit.",capital gains,0
"I have owned five cats (more accurately, they owned me) in my adult life, and every one has been declawed. Each cat was rescued from a shelter, three were under a year old, and our current two had lived in a no-kill shelter for three years before coming to our home. My vet sends the cats home the day following surgery with a pain patch on, and the cats are very comfortable yet able to jump onto furniture and use their litter box. The patch falls off in a few days, and life goes on. All of my cats have been spayed/neutered and indoor animals, no exceptions allowed, and they live long, happy, spoiled lives. It's okay to care about my cats and the way my furniture looks, too.",your cat,1
"Quite simply, the Palestinian authority needs to recognize Israel's right to exist as a Jewish state, and Hamas (if they're a participant) needs to disavow its commitment to the destruction of Israel and the Jews. Until that happens, it's hard to see how any rational, objective person could support Palestinian statehood.",a palestinian state,0
Of course their salaries should be raised. But this should be separated from the discussion about legality. Salaries should be raised and only legal workers should be employed. Its really a no brainer. And any discussion about only Mexicans being prepared to do this work so it has to be illegal is completely disingenuous.,legal workers,0
"Only Karina Gallardo mentioned automation. The importation of farm laborers will increase our population and only temporarily provide farm laborers. Hopefully, the children of the farm laborers will be educated and find better jobs. The use of imported farm laborers should only be considered a temporary solution. An alternative needs to be sought. This means that a significant amount of money must be allocated to the development of robots to do the picking. Robots have significant advantages over human including their willingness to do unpleasant jobs. They also may have better ability to detect the ripeness and quality of crops plants. Robots have the advantage of being able to sense light outside of the visible range and to be equipped with ultrasonic and other sensors. One potential benefit of a decrease in defense spending is that some very qualified members of the defense industry could be motivated to work on farm automation. Some medical imaging companies probably have relevant technology.",farms,1
"I have a PhD in a physical science and received my undergraduate degree at a women's college as did most women of my generation with a degree in a physical science. My school actively promoted me going on to graduate school. 100% of the women my senior class in chemistry went on to graduate school. This is the legacy of a women's college. The women who went to co-ed institutions told stories of harassment in the classroom and labs and found it difficult to obtain letters of recommendation let alone counseling and active support. Men in my graduate school were given forms for grants and scholarships while women were told they were a lost cause as the expectation was that they would soon marry and drop out. I don't think times have changed that much as I'm still one of a handful of women in my field and I'm not seeing a younger generation of women participating. BTW, I went to Mt. Holyoke College.",college,1
"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.",vegan,0
"Also, and usually not acknowledged, is that we are slowly eroding the fertility of the soil. There is no more usable soil, we are farming everything that can be farmed. Current methods depend on petrochemical fertilizers. Even with their use, fertility is slowly declining. As human population continues to grow, the result is obvious.",farm,1
"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.",embargo,1
"A ratings system that leads to accountability seems to be the Obama administration's backdoor attempt to control the for-profits, who are, by and large, giving out junk degrees while raking in the federal loans. The easiest solution is to refuse to lend Federal money to students who attend for-profits; however, the for-profit lobby is too powerful in Congress to make this happen. So Obama is proposing a compromise--rate all of the universities and decide on federal loans from there. Like the health insurance compromise that resulted in Obamacare, setting up a ratings system is a messy solution, but better than doing nothing. The growing student debt problem may very well be our next financial crisis, and if a ratings system can prevent it, so be it.",federal loans,0
"""In a culture that seems to be getting dumber and dumber...."" ""Seems""? I don't recall people twenty years ago saying that the cure for unwanted pregnancy was to ban contraception. Or one of our two poltical parties which represents nearly half the population postulating that the cure for our financial crisis is less regulation, etc. The list of stupid and crazy things that litter our current landscape are just too great to even begin to enumerate. Yes, I know people today cannot be openly racist, war-mongerers, etc. Do you really believe that our ""smart bombs"" and ""smart phones"" make us smarter? It's true that thanks to some very smart individuals we have progressed scientifically but let's not confuse this with human progress. In spite of your counter-intuitive optimism we are just as likely to destroy the planet and ourselves ""by accident"" today as we were twenty or fifty years ago. I seriously doubt that even the average person's knowledge of basic geography is better today than that of my grandparents.",people,0
"If we calculate how much money went to the war in Iraq and Afghanistan, I think that this project is pocket change. While Europe and Asia built their infrastructure the US invested in arms and wars. While other enjoy the benefits of fast and clean transportation, we are still debating if we should go forward or stay in the stone age for a little bit longer. Oh the irony...",transportation,1
"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",bank,1
"I couldn't agree more. The decision of well-meaning but ignorant people to deprive their children of vaccinations endangers not just the children, but the children of others, and vulnerable adults. Our right to choose ends when those choices result in harm to others.",vaccination,1
"I can't help but wonder how many of these problems might have been fixed if the Republicans in Congress had made a legitimate effort to help fix them, rather than devoting all of their efforts to throwing up roadblocks and trying to defund it. It's really hard to build something when you have to deal with someone else trying to tear it down at the same time.",republican,1
"This type of over-control can be harmful to a child. As a speech/language pathologist, I have seen children with stutters suffer anxiety and as a result worsen their speech due to demands placed on them by perfectionist parents. Also, children who cannot possibly measure up to the standard (such as children with autism, Down syndrome, etc.) can be ignored or treated with mental cruelty, causing them further problems.",anxiety,0
"Good argument. We forget we have an obligation to also teach our children. A family vacation to the beach, the mountain or a foreign country is a subtle, pleasurable learning experience, and in addition, hopefully creating loving memories that last a lifetime.",teach,1
"Again, Pinker is only looking at certain strata of the population, the best-educated. He is ignoring the obvious evidence that a lot of poorly-educated people do not have the survival skills that our ancestors had. It is probably true that worldwide, a lot of abstract reasoning skills have diffused more widely among the general population, causing a rise in performance on IQ tests. However, when I've taught young people (as a volunteer), I've been astounded at how wide the gaps are between the small proportion of kids who can read and write and think, the largest group, who stumble over the simplest texts and cannot read aloud, and the group who don't even know what reading and writing are. Clearly, something is going on. Pinker is willfully avoiding it, because it's an embarassment to the liberal elite of which he is a part, and who are largely responsible for the decline in educational standards.",people,1
"I am a dual citizen and not sure it is a good idea but I think nationalism is a bad idea. Maybe we should all be multinational like our Oligarch CEOs? We have a Facebook billionaire who renounced his citizenship to avoid minimal taxes. We now have a failed candidate for the Republican party deciding a Swiss citizenship is better than one. In Ethnic America I belong to a small group that can have more than dual citizenship: how do you all feel about that? I swore an oath out of choice to be an American: I was merely born British. I think any American who chooses to be Swiss has a lot of explaining to do. We British do not think we are the best of the best but Michelle used to say America was the best nation, now she is not so sure?",dual citizenship,0
I had a beautiful home birth with a licensed midwife in 2011. I was so inspired by the experience that I became a certified birth doula and have attended 17 births (many at home or at a birth center). All women should have the opportunity to choose where they feel safest birthing. SO grateful for midwifery!,home birth,1
"""Unlike in the United Arab Emirates, in America we believe parents are capable of making their own decisions about their children's health. We believe in freedom of choice. This freedom of choice extends to when - and even whether- parents vaccinate their kids."" Oh really? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called ""capable"" choices. And this recent choice is rather new. When I was a child back in the 70sI had to get a back-up MMR shot or be denied access to school. What has changed is organized and ill-informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations. Individual choice should not dominate here. We need herd immunity to ensure our society is protected from serious and even fatal diseases. Parents need to be better educated but I don't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves.",vaccination,1
"If the USA Embassy is truly 100% constantly strong and unified in supporting Israel's right to exist, Israel's right to be a Jewish nation and Jerusalem as Israel's eternal capital then yes and amen, stand bold and strong with the uncompromised rights of Israel. USA Embassy's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel's capitol. I will require the tangible consistent defense, offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root. It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice. I don't claim to be an expert, these are my prayerful thoughts on this topic. I believe that Reverend Robert Stearns speaks with wisdom, knowledge and insight. Above all may G-d's righteous holy will be done. -Reverend Tracie Plungis, NJ, USA",usa embassy,1
"""burdensome regulation in the wake of some new disclosure often amounts to locking the barn door after the cow has left."" Here's the key. The company left the door open and the cow left. You may think you're making an argument against regulation, but you're making the best argument there is for regulation before people start dying, and not waiting until the cow leaves..",companies,0
"Sorry, don't buy it. Robert L. DuPont profits off of reforming addicts (and their testing), so of course he wants us to believe this rheoretic. I know dozens of people who smoke marijuana, not one heroin addict in that mix. I guess with this logic we can say milk is a gateway to vodka.",marijuana,1
"California's in-state/out-of-state tuition policies are a boon for Utah. Some of the smartest students I've met at Utah State University found that out-of-state tuition at USU is tens of thousands of dollars less than in-state tuition in California. So they came here instead. Perhaps public universities in Utah and California are playing the same game, trying to attract out-of-state residents who will pay more tuition at the expense of admitting qualified in-state applicants. When two states play this game, the state with a lower cost of living wins. As California seeks to attract overseas and out-of-state talent, it should seriously consider where outside its borders it is driving its own in-state talent to go.",in and out of state tuition,0
"I like this initiative. Wal-Mart is doing a good thing for its customers. Wal-Mart definitely deserves praise for using its power for good for once. Wal-Mart has caused many small businesses to go under and has had serious labor issues over the years. It really owes its customers and employees for their loyalty (even if, in some situations, Wal-Mart is the only game in town) and this healthy food initiative is a wonderful way to start.",initiative,1
"The better question is, though, how many people who have used marijuana DO NOT use other illegal drugs. I think the answer would surprise you. Correlation is not causation - the sooner you learn that, the sooner you can get to the real root of our opiate addition problem.",marijuana,1
"I think our abilities in the fields of rational thought and logic are being usurped by technology. As another debater said; we find it difficult to read a map or measure a room for carpeting. However these everyday functions are made easier with the development of GPS and laser measuring readers. And the examples in this category are many. Perhaps we are being made less discerning through the ubiquitous barrage of marketing - a child of 3 would have been exposed to millions of TV ads - however that child will probably be more competent in the USE not necessarily the DEVELOPMENT of technology, than an adult of today. Industrial research and development has driven a new world of technology which enables many more people to use innovative electronic appliances designed by the few. 50 years ago if your car stalled you would more than likely know why and if you towed it home, perhaps fix it. With today's computerized control systems, that's impossible. So are we getting dumber? Some are and some aren't. I only hope I'm part of the latter. What I do know is that I cannot function without the occasional assistance from my Apple Dictionary.",people,1
"Flash backwards to 1972, Colorado, where the newly enfranchised 18 year olds put into office a whole rash of liberal democrats. I was one of those young voters. I have no doubt that young people today can similarly influence elections. And I sincerely hope they will.",colorado,1
"This article touches a nerve. For 40 years I've operated a tour company in Canada and ,on account of taxation, was in no hurray to grow the company.One accepts tax on income but when taxed 40% on the additional income that the original income may make, the incentive to expand dissipates.So if this represents the mind frame of a small number entrepreneurs, a lot of jobs, capital and opportunity is not being created.",taxation,1
"Legalizing prostitution and cracking down on trafficking are not mutually exclusive. The increased traffic in Amsterdam comes from the fact that it is just one such city and attracts men from all over. If prostitution was legal in every country in Europe this would not happen. Does prostitution dehumanize women? Absolutely. But until we get rid of it, legalization does, in theory, offer protections that doesn't currently exist.",prostituion,1
"A cat living in the wild needs its claws for climbing trees and for self defense. A pet cat kept indoors does not need its claws. If I have to keep a pet cat I would insist on declawing it. Otherwise I would forgo the pleasure of having a cat as a pet, no matter how cuddly.",your cat,0
"All very true but I feel a lot of people have lost the ability to be an ""informed skeptic"" i.e. know when something doesn't seem plausible and be willing to do the work to investigate further. Just look at the controversy over established science for example. It seems to me that lots of folks search out information that conforms to their own viewpoint and accept that, regardless of evidence to the contrary. ""I saw it on the internet, it must be right!""",people,0
"The assumption is that this is a political decision which seems very bizarre to me. An Atlantic spill would affect a heck off a lot more people than would a spill in the Arctic so how does this make sense politically? Last I checked wildlife doesn't vote. I have yet to see a good explanation for this decision, either from a political or an environmental position. If there is one I would like to hear it. Would a spill in the Atlantic 50 miles out disperse away from the coast more than would a spill in the Arctic or the Gulf? Because there surely will be one no matter how much the ""our drilling rigs, pipelines and trains are safe"" oil executives say.",drill,0
"The game I grew up with and today's game are very different. In 1957 there were 8 teams, 11 players on each team, a total of 88 players in the entire league. Basketball was more a team game then, Bill Russell started his unbelievable streak, 13 seasons, 12 trips to the finals, 11 championships. Dribbling was done with the palm down, if Michael Jordan were magically transported back to 1957, he would have been called for palming the first time he touched the ball. The reason players today are able to drive so quickly is guiding the ball with the palm up, pushing the ball forward. Watching the Knicks of Reed and Frazier was a concert of 5 men working together,, moving the ball to the open man, constantly moving. Today 4 guys stand and watch an Anthony or James drive past their defender in an isolation play. Returning to the point, watching a 6'3"" guard dunk cheapens the shot, raise the basket 1 foot and the shot will regain the importance when Wilt Chamberlain the down a monster dunk.",michael jordan,0
"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?",education,0
with regards to that first comment about putting grafitti on t-shirts. ugh. graffiti belongs to the streets. it's not supposed to be marketed and profited upon. it's like those jerks who throw in extras on skateboards into cereal commercials. corporations trying to tap into subcultures which they know nothing about.,graffiti,1
"The banks are in the business of using the US economy to make money. Usually this is good for both the banks and the rest of the economy, but sometimes the banks make it much more beneficial for them than for the economy. The best managed companies on the planet will be the ones that can extort the most from everybody else by getting rid of fair competition on a level playing field. Like a well-managed army, they are aggressive as well as efficient. The banks need to be managed so that they do not drown in their own bubbles, but also so they do not take over the rest of the economy.",bank,0
"I agree with comment #115. Raising children in a strict environment with limited play, relax time reduces their creativity and happiness in life. Take the Chinese vs American businesses an as example. Chinese are very hard working and good at making replicas for less, but Americans generally less hard working are better at creativity and invention, like technology. Our less structured culture supports innovation and successes like facebook, apple etc.",raising children,0
Only problem with students is that they do not vote. Look s recently as states which have just had primary elections during spring break. The sands of Florida and the beer was much more important than to stay in their districts to vote. Don't count on them to bone of any help except the occasional rally as a relief agent to distract from classes.,vote,0
OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so-called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own. The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth. It enables one to assimilate a culture in a way unequaled to any other.,foreign language,1
"The author is out of his freaking mind! Declawing,tail docking,ear cropping,docking cattle and sheep tails,mulesing and all other mutilations of animals for the human caretakers convenience should be outlawed! As for the declawing, have you never heard of The Paw Project? Do you have any idea what declawing does to a cat? What really needs to happen is Human Education ! I've had cats for over 20 years and raised hundreds of orphan kittens and have NEVER had any furniture,rugs etc destroyed by felines. From the time kittens can walk I filed/trimmed claws,have multiple cat trees and scratching posts and cardboard scratching boxes in the house.It is time for Mr. Beck to join the 21st century and start respecting animals.",your cat,1
"How large is the (significant) difference between outcomes for a baby born at home and one born in the hospital? And, is it due to the inclusion in this data of incompetent midwives? I have known several women who gave birth at home, and wished to do so myself, but couldn't because of complications. My experience of birthing in a hospital with a male resident was quite unpleasant. He touched me and examined me without asking my permission. He said my membranes had not broken and I was urinating. Every woman who has experienced membranes breaking knows the difference. A woman/midwife wouldn't have done/said these things this. Childbirth is difficult enough without unempathic male doctors.",women,1
"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.",their land,1
"Or farming of this type would just move to mechanization to keep costs down. In the late 70s/early 80s, the United Farm Workers did a lot to prevent academic research into mechanization of California farming, and wanted the state to impose taxes on mechanized fruit and vegetable harvesters. I think their efforts even included a terrorist attack on the Ag-engineering department at UC-Davis (although maybe that's just something I just heard?). But it's 2011, and I doubt they are strong enough to stop mechanization these days.",farms,0
"This mess began more than 30 years ago when the government did away with the usury laws. Since then it's been open season on bank customers. With the rates imposed and fees added you'd think you were dealing with loan sharks. So far the only difference is that nobody drops by your house to break your knee caps if you overdraw your checking account, miss a payment, or move your money to a credit union. We need to reimpose caps above which no money lender or financial institution can impose fees, interest, or any other charges or fines.",fees,0
"Empirically, this assertion is wrong. We live in a time where the individual's rights under the law are ignored with indifference by those who feel empowered by public office or the ability to influence those in public office. There is much corruption in government, these days, because it is so hard for citizens to be fully informed about what their governments are doing and why. Public officials across this country are using their authority and discretion to advance their careers and to serve powerful or very influential entities with indifference for the impacts upon the citizens they represent unless those citizens are equally powerful or very influential and can challenge the public actions which affect them.",individual's rights,0
"I encounter deaf people from time to time in my work. I mistakenly believed that in this day of texting and email, that communicating with them would not be a problem. What I didn't realize is that when ASL is your first language, English is a foreign language. As such, the deaf people I have encountered were not well able to communicate in writing. I'm not saying they couldn't write a 10 page memo; they couldn't answer simple questions in an email. It is inexcusable that non-hearing children are denied sufficient education to be competent in English. In my admittedly limited experience, kids who grow up with cochlear implants and cued speech are more capable of communicating in English. For that alone it is worth it. ASL was quite an advancement at its inception, but it is fast outliving its usefulness and becoming a burden rather than the liberator it was intended to be.",deaf people,1
"How about obstetricians step up and admit that since men started controlling the birth process in hospital, women have suffered. Unneeded interventions and drugs, artificially induced labours, humiliating practices like shaving pubic hair, twilight sleep, episiotomies, Caesareans scheduled for the convenience of the doctor and his golf game, women with previous Caesareans not allowed to attempt a VBAC, babies and mothers separated at birth. If you're wondering why some women would want a home birth, take a look at yourselves and your practices.",home birth,1
"I find this answer scaring to the utmost extent. I am a 33 year old mother, and had two absolutely perfectly normal pregnancies. I am very healthy. I delivered my two girls with the least interventions (no drugs or other interventions). Every single thing the doctors did, I was asked first... Except... my second daughter was entangled in her cord. The doctor immediately helped her out with vacuum. Today, she has no lesions or side effects. I wonder and do not want to consider what would have happened in a home birth. Overall, I found the providers extremely amenable and willing to do anything to accommodate for me (the mother)... except, when my baby's life was at stake, and they did what they could do provide a safe birth. Exactly what I wanted.",home birth,0
